DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
06/07/2024,#220 - 2800 KEELE STREET,TORONTO,ONTARIO,M3M2G5,VANESSA GADDI-VILA,HOMELIFE HEARTS REALTY INC.,"$649,000",43.728594,79.483251
06/07/2024,#404 - 35 RAGLAN AVENUE,TORONTO,ONTARIO,M6C2K7,CHRISTOPHER ANDREW BIBBY,RE/MAX HALLMARK BIBBY GROUP REALTY,"$619,900",43.6843042,79.419816
06/07/2024,#708 - 887 BAY STREET,TORONTO,ONTARIO,M5S3K4,WILLIAM XIANGYANG WANG,EVERLAND REALTY INC.,"$650,000",43.6629706,79.3861599
06/07/2024,1 - 94 TRINITY STREET,TORONTO,ONTARIO,M5A3C6,MILANA CIZMAR,ROYAL LEPAGE REAL ESTATE SERVICES LTD.,"$619,900",43.6526129,79.3612092
06/07/2024,10 PARK LAWN ROAD UNIT# 2508,ETOBICOKE,ONTARIO,M8V0H9,GRACE SOARES,REMAX WEST REALTY INC,"$630,000",43.62326946,79.48353356
06/07/2024,1001 - 181 DUNDAS STREET,TORONTO,ONTARIO,M5A0N5,MANJYOTE DHILLON,HOMELIFE G1 REALTY INC.,"$609,000",43.6570682,79.3740411
06/07/2024,1001 - 199 CHURCH STREET E,TORONTO,ONTARIO,M5B0C5,JOHN ARMANIOUS,KELLER WILLIAMS REFERRED URBAN REALTY,"$618,000",43.655703,79.3764973
06/07/2024,1002 - 115 MCMAHON DRIVE,TORONTO,ONTARIO,M2K2X9,JOE WING H. LAU,CENTURY 21 KING'S QUAY REAL ESTATE INC.,"$618,000",43.7672466,79.3705688
06/07/2024,1003 - 2220 LAKE SHORE BOULEVARD W,TORONTO,ONTARIO,M8V0C1,JENNY ZHOU,FORESTWOOD REAL ESTATE INC.,"$638,000",43.6228596,79.4831828
06/07/2024,1004 - 8 WIDMER STREET,TORONTO,ONTARIO,M5V0W6,ERWIN CHOI,BAY STREET GROUP INC.,"$638,888",43.6467607,79.3917958
06/07/2024,1005 - 101 ERSKINE AVENUE,TORONTO,ONTARIO,M4P1Y5,STELLA YE,5I5J REALTY INC.,"$605,000",43.7115868,79.3953911
06/07/2024,1006 - 15 MAITLAND PLACE,TORONTO,ONTARIO,M4Y2X3,OMER QUENNEVILLE,REAL ESTATE HOMEWARD,"$649,900",43.6654532,79.3762942
06/07/2024,1006 - 228 QUEENS QUAY W,TORONTO,ONTARIO,M5J2X1,DANIEL BRAGANZA,HOMELIFE TOP STAR REALTY INC.,"$625,000",43.6397125,79.3833727
06/07/2024,1006 - 60 PAVANE LINKWAY,TORONTO,ONTARIO,M3C2Y6,BOB ALLAHHAM,SOLID ROCK REALTY,"$620,000",43.7115189,79.322827
06/07/2024,1007 - 15 GRENVILLE STREET,TORONTO,ONTARIO,M4Y0B9,JASON LI,CENTURY 21 MYPRO REALTY,"$634,990",43.6618614,79.3841461
06/07/2024,1007 - 60 BYNG AVENUE,TORONTO,ONTARIO,M2N4K3,WILLER LIU,FIRST CLASS REALTY INC.,"$648,000",43.7773991,79.4128
06/07/2024,1007 - 68 MERTON STREET,TORONTO,ONTARIO,M4S1A1,LINDA NGUYEN,ORION REALTY CORPORATION,"$649,000",43.6970463,79.3941536
06/07/2024,1007 - 70 TEMPERANCE STREET,TORONTO,ONTARIO,M5H0B1,SLAVA RYZHIKOV,HOMELIFE/BAYVIEW REALTY INC.,"$609,000",43.6505301,79.3821482
06/07/2024,1008 - 1037 THE QUEENSWAY,TORONTO,ONTARIO,M8Z6C7,TANYA ICLIATES,SAGE REAL ESTATE LIMITED,"$644,900",43.6231615,79.5153087
06/07/2024,1008 - 11 BRUNEL COURT,TORONTO,ONTARIO,M5V3Y3,GLAD HO,SUTTON GROUP - SUMMIT REALTY INC.,"$618,000",43.6393683,79.3933145
06/07/2024,1008 - 4727 SHEPPARD AVENUE,TORONTO,ONTARIO,M1S5B3,RICKY SOOD,RE/MAX MILLENNIUM REAL ESTATE,"$649,800",43.7894966,79.2535792
06/07/2024,1008 - 625 THE WEST MALL W,TORONTO,ONTARIO,M9C4W9,LEE CARR,FOREST HILL REAL ESTATE INC.,"$610,000",43.6552669,79.5707826
06/07/2024,1008 - 770 BAY STREET,TORONTO,ONTARIO,M5G0A6,JACK CHEN,RE/MAX IMPERIAL REALTY INC.,"$639,000",43.6600829,79.3860086
06/07/2024,1008 - 83 REDPATH AVENUE,TORONTO,ONTARIO,M4S0A2,ROBERT JEFFREY JAKAB,ROYAL LEPAGE SIGNATURE REALTY,"$649,000",43.706541,79.3919482
06/07/2024,1009 - 120 DUNDALK DRIVE,TORONTO,ONTARIO,M1P4V9,TINA WEISZ,RE/MAX REALTRON REALTY INC.,"$626,888",43.7710351,79.2874141
06/07/2024,1009 - 34 TUBMAN AVENUE,TORONTO,ONTARIO,M5A0M8,YOHANNES YAYEH,RE/MAX WEST REALTY INC.,"$629,000",43.6612119,79.359668
06/07/2024,101 - 17 CONEFLOWER CRESCENT,TORONTO,ONTARIO,M2R0A5,MARVET MASSOUD,ROYAL LEPAGE SIGNATURE REALTY,"$629,888",43.7782466,79.4509799
06/07/2024,101 - 90 BROADVIEW AVENUE,TORONTO,ONTARIO,M4M0A7,ALFRED MAN HO LEE,LIVING REALTY INC.,"$650,000",43.6579923,79.3497395
06/07/2024,1010 - 330 RICHMOND ST WEST STREET W,TORONTO,ONTARIO,M5V1X2,SAEID BOKHARAIE,RE/MAX HALLMARK REALTY LTD.,"$624,880",43.6489309,79.3927925
06/07/2024,1011 - 23 HOLLYWOOD AVENUE W,TORONTO,ONTARIO,M2N7L8,RAJ DAVE,HOMELIFE/MIRACLE REALTY LTD,"$629,000",43.7655635,79.4108921
06/07/2024,1011 - 95 MCMAHON DRIVE N,TORONTO,ONTARIO,M2K0H2,RUTH LILY LIM,SKYLETTE MARKETING REALTY INC.,"$639,990",43.7667106,79.3723553
06/07/2024,1012 - 2 CLAIRTRELL ROAD,TORONTO,ONTARIO,M2N7H5,STEVE K.K. SUM,REALTY ASSOCIATES INC.,"$639,000",43.7663341,79.3906061
06/07/2024,1014 - 96 ST PATRICK STREET,TORONTO,ONTARIO,M5T1V2,VIJAY JAKHU,HOMELIFE G1 REALTY INC.,"$629,900",43.6529107,79.3899674
