DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
02/07/2024,1003 - 3390 WESTON ROAD,TORONTO,ONTARIO,M9M2X3,GIUSEPPE FLAMMIA,ENGEL & VOLKERS TORONTO CENTRAL,"$499,900",43.7491874,79.5427005
25/06/2024,1003 - 50 THOMAS RILEY ROAD,TORONTO,ONTARIO,M9B0C1,STANLEY WONG,HOMELIFE FRONTIER REALTY INC.,"$1,238,900",43.6338301,79.5415913
03/07/2024,1003 - 60 TANNERY ROAD,TORONTO,ONTARIO,M5A0S8,OLESSIA SOLDATOV,FOREST HILL REAL ESTATE INC.,"$1,165,000",43.6537041,79.3552937
02/07/2024,1003E - 36 LISGAR STREET,TORONTO,ONTARIO,M6J3G2,COLIN CAMPBELL,SOUTHCOAST REALTY LIMITED,$1,43.6419929,79.4235282
6/24/2024,1004 - 1 CARDIFF ROAD,TORONTO,ONTARIO,M4P0G2,SAM ALLAN MCDADI,SAM MCDADI REAL ESTATE INC.,"$1,039,000",43.71032,79.3831191
27/06/2024,1004 - 25 NEIGHBOURHOOD LANE,TORONTO,ONTARIO,M8Y0C3,TAYA DAY,HARVEY KALLES REAL ESTATE LTD.,"$980,000",43.6382223,79.489225
02/07/2024,1004 - 2800 WARDEN AVENUE,TORONTO,ONTARIO,M1W3Z6,STEVE ROGERS,RIGHT AT HOME REALTY,"$399,900",43.7957187,79.3156914
03/07/2024,1004 - 3 ROWNTREE ROAD,TORONTO,ONTARIO,M9V5G8,GEOFFREY W. FULTON,KELLER WILLIAMS REFERRED URBAN REALTY,"$575,000",43.7504383,79.5817718
6/24/2024,1004 - 3100 KEELE STREET,TORONTO,ONTARIO,M3M2H4,ELIE RIZK,CENTURY 21 PERCY FULTON LTD.,"$489,000",43.7400361,79.4856773
02/07/2024,1004 - 32 TROLLEY CRESCENT,TORONTO,ONTARIO,M5A0E8,TAMAS TOROK,"INTERNATIONAL REALTY FIRM, INC.","$439,000",43.6567563,79.3552266
03/07/2024,1004 - 551 THE WEST MALL,TORONTO,ONTARIO,M9C1G7,SABINE EL GHALI,IPRO REALTY LTD.,"$565,000",43.6518401,79.5697714
6/24/2024,1004 - 56 FOREST MANOR ROAD,TORONTO,ONTARIO,M2J1M6,KYLE YANG,BAY STREET INTEGRITY REALTY INC.,"$3,050/MONTHLY",43.7733449,79.3450628
03/07/2024,1004 - 716 THE WEST MALL,TORONTO,ONTARIO,M9C4X6,GARIMA KAUSHAL,ACCSELL REALTY INC.,"$590,000",43.6565663,79.5701065
25/06/2024,1004 - 8 WIDMER STREET,TORONTO,ONTARIO,M5V0W6,ERWIN CHOI,BAY STREET GROUP INC.,"$668,000",43.6467607,79.3917958
